nombre_region,anno,seccion,subtabla,indicador,nivel,valor,valor_texto
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Hombres,regional,183343.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Mujeres,regional,186463.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Total,regional,369806.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Hombres,regional,49.6,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Mujeres,regional,50.4,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Hombres,nacional,8967033.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Mujeres,nacional,9513399.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Total,nacional,18480432.0,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Hombres,nacional,48.5,
Arica y Parinacota,2025,demografia,"1.1 Distribución de la población por sexo, según Censo de población año 2024",Mujeres,nacional,51.5,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población Infantil(0 a 14 años),regional,21.8,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población en edad de trabajar(15 a 64 años),regional,68.7,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Adultos Mayores(65 años o más),regional,9.6,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población Infantil(0 a 14 años),nacional,17.7,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población en edad de trabajar(15 a 64 años),nacional,68.3,
Arica y Parinacota,2025,demografia,"1.2 Distribución de la población por grandes grupos de edad, Censo de población año 2024",Adultos Mayores(65 años o más),nacional,14.0,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de Masculinidad(IM),regional,98.3,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de DependenciaDemográfica (IDD),regional,45.6,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de AdultosMayores (IAM),regional,43.9,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de Masculinidad(IM),nacional,94.3,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de DependenciaDemográfica (IDD),nacional,46.5,
Arica y Parinacota,2025,demografia,"1.3 Indicadores Demográficos:Índice de masculinidad,Índice de dependencia demográfica,Índice de adultos mayores; según C",Índice de AdultosMayores (IAM),nacional,79.0,
