nombre_region,anno,seccion,subtabla,indicador,nivel,valor,valor_texto,fuente
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Hombres,regional,148263.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Mujeres,regional,150917.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Total,regional,299180.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Hombres,regional,49.6,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Mujeres,regional,50.4,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Hombres,nacional,8967033.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Mujeres,nacional,9513399.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Total,nacional,18480432.0,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Hombres,nacional,48.5,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por sexo, según Censo de población año 2024",Mujeres,nacional,51.5,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población Infantil(0 a 14 años),regional,19.8,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población en edad de trabajar(15 a 64 años),regional,67.7,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por grandes grupos de edad, Censo de población año 2024",Adultos Mayores(65 años o más),regional,12.6,,"Fuente: Censo Población y Vivienda 2024, INE"
Antofagasta,2025,demografia,"Distribución de la población por grandes grupos de edad, Censo de población año 2024",Población Infantil(0 a 14 años),nacional,17.7,,"Fuente: Censo Población y Vivienda 2024, INE"
